# Optical Transmissions and radiometric responses for F-CAMs;;;;;;;;;;;;;;;;;
# column 1 wavelength in nm;;;;;;;;;;;;;;;;;
# column 2 minimum transmission of blue filter [see PLATO-DLR-PL-RP-0007];;;;;;;;;;;;;;;;;
# column 3 as designed mission level transmission of blue filter [see Table 4-5 in PTO-EST-PL-REP-0952];;;;;;;;;;;;;;;;;
# column 4 minimum transmission of red filter [see PLATO-DLR-PL-RP-0007];;;;;;;;;;;;;;;;;
# column 5 as designed mission level transmission of red filter [see Table 4-5 in PTO-EST-PL-REP-0952];;;;;;;;;;;;;;;;;
# column 6 impact of molecular contamination [see Table 2 PTO-EST-PL-REP-0936, linear interpolation when needed];;;;;;;;;;;;;;;;;
# column 7 impact of particulate contamination [see Table 2 PTO-EST-PL-REP-0936, linear interpolation when needed];;;;;;;;;;;;;;;;;
# column 8 optical transmission (without contamination) [see Table 2 PTO-EST-PL-REP-0936, linear interpolation when needed];;;;;;;;;;;;;;;;;
# column 9 as designed mission level PFM TOU transmission [system margin on PLATO-INAF-PL-RP-0066 measurements];;;;;;;;;;;;;;;;;
# column 10 required optical transmission blue camera BOL (PL-SYS-315) [NaN when not in requirement];;;;;;;;;;;;;;;;;
# column 11 required optical transmission blue camera EOL (PL-SYS-5019) [NaN when not in requirement];;;;;;;;;;;;;;;;;
# column 12 required optical transmission blue camera BOL (PL-SYS-315) [NaN when not in requirement];;;;;;;;;;;;;;;;;
# column 13 required optical transmission blue camera EOL (PL-SYS-5019) [NaN when not in requirement];;;;;;;;;;;;;;;;;
# column 14 expected optical transmission blue camera [filter low x impact of molecular x impact of particulate x optical transmission];;;;;;;;;;;;;;;;;
# column 15 expected optical transmission red camera [filter low x impact of molecular x impact of particulate x optical transmission];;;;;;;;;;;;;;;;;
# column 16 as designed mission level transmission of blue camera [as designed filter x impact of molecular x impact of particulate x as designed transmission];;;;;;;;;;;;;;;;;
# column 17 as designed mission level transmission of red camera [as designed filter x impact of molecular x impact of particulate x as designed transmission];;;;;;;;;;;;;;;;;
Wavelength;Blue filter low limit;Blue filter mission;Red filter low;Red filter mission;moc;pac;optical transmission;as designed TOU optical transmission;required transmission blue BOL;required transmission blue EOL;required transmission red BOL;required transmission red EOL;expected transmission blue camera;expected transmission red camera;as designed blue camera effective transmission;as designed red camera effective transmission; 
500;0;0.986;0;0;0.880;0.98;0.800;0.87;NaN;NaN;NaN;NaN;0.000;0.000;0.740;0.000;
505;0;0.986;0;0;0.883;0.98;0.806;0.87;0.559;0.543;NaN;NaN;0.000;0.000;0.743;0.000;
525;0.73;0.986;0;0;0.897;0.98;0.829;0.87;0.582;0.562;NaN;NaN;0.532;0.000;0.754;0.000;
550;0.85;0.986;0;0;0.914;0.98;0.858;0.87;0.604;0.585;NaN;NaN;0.653;0.000;0.768;0.000;
575;0.85;0.986;0;0;0.933;0.98;0.866;0.87;0.620;0.601;NaN;NaN;0.674;0.000;0.785;0.000;
600;0.85;0.986;0;0;0.953;0.98;0.875;0.87;0.635;0.618;NaN;NaN;0.695;0.000;0.801;0.000;
625;0.85;0.986;0;0;0.956;0.98;0.870;0.87;0.639;0.623;NaN;NaN;0.692;0.000;0.804;0.000;
650;0.85;0.986;0;0;0.959;0.98;0.864;0.87;0.643;0.628;NaN;NaN;0.690;0.000;0.806;0.000;
665;0.85;0.986;0;0.989;0.962;0.98;0.867;0.87;NaN;NaN;0.647;0.632;0.695;0.000;0.809;0.811;
700;0;0;0.85;0.989;0.969;0.98;0.874;0.87;0.655;0.642;0.655;0.642;0.000;0.705;0.000;0.817;
750;0;0;0.85;0.989;0.972;0.98;0.873;0.87;NaN;NaN;0.662;0.649;0.000;0.707;0.000;0.820;
800;0;0;0.85;0.989;0.974;0.98;0.883;0.87;NaN;NaN;0.667;0.654;0.000;0.716;0.000;0.821;
850;0;0;0.85;0.989;0.976;0.98;0.893;0.87;NaN;NaN;0.67;0.657;0.000;0.726;0.000;0.823;
900;0;0;0.85;0.989;0.978;0.98;0.893;0.87;NaN;NaN;0.672;0.659;0.000;0.728;0.000;0.825;
950;0;0;0.85;0.989;0.978;0.98;0.893;0.87;NaN;NaN;0.673;0.661;0.000;0.728;0.000;0.825;
1000;0;0;0.85;0.989;0.978;0.98;0.873;0.87;NaN;NaN;0.675;0.662;0.000;0.711;0.000;0.825;
;;;;;;;;;;;;;;;;;
