# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec 16 09:44:13 2021
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%Transit%')
#
# COLUMN pl_name:        Planet Name 0
# COLUMN discoverymethod: Discovery Method 
# COLUMN pl_orbper:      Orbital Period [days] 2
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag 
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]) 6 
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius] 10
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass] 14
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity 18
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg] 22
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
#
pl_name,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim
AU Mic b,Transit,8.46321000,0.00004000,-0.00004000,0,0.066000,0.007000,-0.006000,0,4.203,0.202,-0.202,0,57.20940,,,1,0.100000,0.170000,-0.090000,0,,,,
AU Mic b,Transit,8.46300000,0.00000200,-0.00000200,0,0.064500,0.001300,-0.001300,0,4.070,0.170,-0.170,0,17.00000,5.00000,-5.00000,0,0.000000,,,0,89.500,0.300,-0.300,0
AU Mic c,Transit,18.85901900,0.00001600,-0.00001600,0,0.110100,0.002200,-0.002200,0,3.240,0.160,-0.160,0,13.60000,11.40000,-11.40000,0,0.000000,,,0,89.000,0.500,-0.400,0
BD+20 594 b,Transit,41.68550000,0.00300000,-0.00310000,0,0.241000,0.019000,-0.017000,0,2.230,0.140,-0.110,0,16.30000,6.00000,-6.10000,0,0.000000,,,0,89.550,0.170,-0.140,0
BD+20 594 b,Transit,41.68550000,0.00300000,-0.00300000,0,,,,,2.578,0.112,-0.112,0,22.24810,9.53490,-9.53490,0,0.000000,,,0,89.550,0.160,-0.160,0
BD+20 594 b,Transit,41.68864400,0.00335300,-0.00341900,0,,,,,2.355,0.310,-0.167,0,,,,,,,,,89.526,0.329,-0.535,0
CoRoT-1 b,Transit,1.50895570,,,0,0.026100,0.000500,-0.000500,0,16.589,0.673,-0.673,0,359.14790,22.24810,-22.24810,0,0.000000,,,0,86.700,0.600,-0.600,0
CoRoT-1 b,Transit,1.50895570,0.00000640,-0.00000640,0,,,,,16.700,0.900,-0.900,0,327.35000,38.14000,-38.14000,0,0.000000,,,0,85.100,0.500,-0.500,0
CoRoT-1 b,Transit,1.50896860,0.00000060,-0.00000060,0,0.025360,0.000990,-0.000990,0,17.385,0.729,-0.729,0,327.36490,31.78300,-31.78300,0,,,,,84.420,0.310,-0.310,0
CoRoT-1 b,Transit,1.50896820,0.00000050,-0.00000050,0,0.027520,0.000220,-0.000230,0,19.223,0.336,-0.336,0,390.93090,31.78300,-31.78300,0,0.036000,,,1,85.100,0.500,-0.500,0
CoRoT-1 b,Transit,1.50897655,0.00000010,-0.00000010,0,0.025900,0.001100,-0.002000,0,15.917,2.690,-2.690,0,340.07810,54.03110,-54.03110,0,0.071000,0.620000,-0.480000,0,85.660,0.620,-0.480,0
CoRoT-10 b,Transit,13.24060000,0.00020000,-0.00020000,0,0.105500,0.001900,-0.002000,0,10.873,0.785,-0.785,0,867.67590,44.49620,-44.49620,0,0.524000,0.018000,-0.018000,0,88.550,0.200,-0.200,0
CoRoT-10 b,Transit,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,10.870,0.780,-0.780,0,874.00000,50.85000,-50.85000,0,0.530000,0.040000,-0.040000,0,88.550,0.200,-0.200,0
CoRoT-10 b,Transit,13.24060000,0.00020000,-0.00020000,0,0.106000,0.001400,-0.001400,0,10.548,0.953,-0.953,0,883.56740,47.67450,-47.67450,0,,,,,88.570,0.180,-0.180,0
CoRoT-11 b,Transit,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-11 b,Transit,2.99433000,0.00001100,-0.00001100,0,0.044000,0.001600,-0.001600,0,15.984,0.650,-0.650,0,743.72220,123.95370,-123.95370,0,,,,,83.130,0.190,-0.190,0
CoRoT-11 b,Transit,2.99432500,0.00002100,-0.00002100,0,0.044070,0.000560,-0.000590,0,16.029,0.336,-0.336,0,832.71460,187.51970,-197.05460,0,0.360000,,,1,83.170,0.150,-0.150,0
CoRoT-11 b,Transit,2.99432500,0.00002100,-0.00002100,0,0.043510,0.000360,-0.000360,0,15.581,0.370,-0.370,0,791.39670,85.81410,-85.81410,0,0.000000,,,0,83.410,0.170,-0.170,0
CoRoT-11 b,Transit,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,16.030,0.340,-0.340,0,740.51000,108.06000,-108.06000,0,0.000000,,,0,83.170,0.150,-0.150,0
CoRoT-12 b,Transit,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,16.140,1.460,-1.460,0,291.43800,22.24700,-20.65800,0,0.070000,0.063000,-0.042000,0,85.480,0.720,-0.770,0
CoRoT-12 b,Transit,2.82804200,0.00001300,-0.00001300,0,0.040130,0.000900,-0.000930,0,16.141,1.457,-1.457,0,290.81445,22.56593,-21.93027,0,0.050000,,,1,85.480,0.720,-0.770,0
